ID,Segment,Segment_Name,Total_Spending,Estimated_CLV,Response_Probability,Churn_Risk,RFM_Score,Income,Age
6260,1,Budget-Conscious Families,1957,376.90370370370374,0.9420416666666667,Medium Risk,13,82384.0,66
10383,4,Affluent Singles,1093,208.19047619047626,0.43737129167677,Low Risk,10,70287.0,55
7437,2,Mature Loyalists,29,4.833333333333333,0.02104482886395752,Low Risk,4,27938.0,33
8375,0,High-Value Champions,518,97.50588235294117,0.37106193874889576,Medium Risk,11,55954.0,53
6853,1,Budget-Conscious Families,1438,273.9047619047619,0.9473018587583016,Low Risk,10,75777.0,39
3076,4,Affluent Singles,612,115.9578947368421,0.08645434823816085,Low Risk,8,66653.0,46
1012,4,Affluent Singles,884,168.3809523809524,0.09926895120500716,Low Risk,10,61823.0,69
6518,4,Affluent Singles,606,114.82105263157897,0.1657581869261296,Low Risk,8,67680.0,70
4137,4,Affluent Singles,1076,201.75,0.17023003482066934,Low Risk,9,70666.0,73
8082,2,Mature Loyalists,34,5.4399999999999995,0.5159581643108452,Medium Risk,6,25721.0,50
1386,0,High-Value Champions,11,1.6500000000000001,0.027206627499259353,Low Risk,3,32474.0,54
9369,1,Budget-Conscious Families,1274,246.8375,0.7659701784299877,Low Risk,11,88194.0,42
4477,4,Affluent Singles,653,123.34444444444443,0.09764310993222576,Low Risk,9,69096.0,63
1357,4,Affluent Singles,1562,288.3692307692308,0.09900091819525812,High Risk,13,74854.0,51
1402,4,Affluent Singles,1253,237.41052631578947,0.13775062990439477,Low Risk,10,66991.0,67
6312,4,Affluent Singles,863,166.20740740740743,0.0684475892758537,Low Risk,11,65031.0,62
8132,0,High-Value Champions,661,125.58999999999999,0.43833870135892794,High Risk,13,60631.0,46
1050,0,High-Value Champions,65,11.375000000000002,0.06973659042738257,Medium Risk,7,28332.0,69
5846,2,Mature Loyalists,13,1.9500000000000002,0.031932611628785634,Medium Risk,6,40246.0,44
1859,1,Budget-Conscious Families,1890,358.1052631578948,0.9092496392496392,Low Risk,11,75251.0,49
7503,1,Budget-Conscious Families,2209,422.5913043478261,0.9281137267904509,Low Risk,13,75825.0,45
10401,2,Mature Loyalists,18,2.7,0.04333533250694423,Low Risk,3,26326.0,45
1618,4,Affluent Singles,692,131.48000000000002,0.30532881380356597,Low Risk,9,56046.0,56
3332,2,Mature Loyalists,165,29.333333333333332,0.16765517410696865,High Risk,9,29760.0,36
2261,2,Mature Loyalists,16,2.4000000000000004,0.04761985292653205,Low Risk,3,26304.0,52
5346,2,Mature Loyalists,79,13.542857142857144,0.04398462828332041,High Risk,9,23559.0,48
4119,4,Affluent Singles,318,57.81818181818183,0.08428341661393246,Medium Risk,9,38620.0,58
535,4,Affluent Singles,778,149.83703703703702,0.19155308749022573,Low Risk,10,81361.0,34
5268,0,High-Value Champions,56,9.333333333333334,0.04153187914582616,High Risk,8,29440.0,61
273,0,High-Value Champions,151,26.84444444444445,0.07854458177041673,Low Risk,7,36138.0,51
4452,0,High-Value Champions,372,69.08571428571429,0.7033610692185516,Low Risk,7,50388.0,64
8504,1,Budget-Conscious Families,1366,258.82105263157894,0.9549654118404117,Medium Risk,13,79593.0,48
771,0,High-Value Champions,194,34.92,0.02674017464974572,High Risk,8,54178.0,54
11178,2,Mature Loyalists,32,5.120000000000001,0.009717294221302394,Medium Risk,6,42394.0,49
2230,2,Mature Loyalists,43,7.525,0.04582766937452118,High Risk,8,23626.0,51
7516,2,Mature Loyalists,45,7.5,0.011222846952668213,Low Risk,4,30096.0,38
7247,4,Affluent Singles,606,114.46666666666665,0.4451161041559781,Medium Risk,11,47916.0,61
11100,0,High-Value Champions,63,10.5,0.061902054867700285,Low Risk,5,51813.0,49
4646,4,Affluent Singles,978,187.77599999999998,0.8483660939206992,Low Risk,12,78497.0,70
3037,2,Mature Loyalists,410,76.53333333333333,0.09037991093916674,Low Risk,8,50150.0,38
1473,0,High-Value Champions,72,12.0,0.1859402807559774,Low Risk,4,47823.0,61
1016,0,High-Value Champions,55,9.166666666666666,0.01743997464109396,Low Risk,5,34554.0,62
4518,4,Affluent Singles,1169,224.8076923076923,0.07295720053033906,Medium Risk,13,85693.0,42
9370,4,Affluent Singles,1120,210.0,0.12520834160622485,Medium Risk,11,65846.0,76
8908,4,Affluent Singles,1097,208.43000000000004,0.2621029826410021,Low Risk,10,87195.0,62
8373,2,Mature Loyalists,29,4.64,0.006500137526037631,High Risk,7,24594.0,42
7533,0,High-Value Champions,187,33.66,0.07038116695966734,Low Risk,5,49096.0,57
2683,4,Affluent Singles,910,174.08695652173915,0.12266628659161943,Medium Risk,12,52413.0,52
3629,2,Mature Loyalists,145,25.375,0.19408028833321256,Low Risk,5,38557.0,43
10991,4,Affluent Singles,850,157.8571428571429,0.2079544897203009,Low Risk,8,89058.0,61
5077,4,Affluent Singles,969,185.72500000000002,0.10707933754057718,Low Risk,12,77298.0,42
7431,1,Budget-Conscious Families,1820,342.5882352941177,0.9307142857142857,Low Risk,12,68126.0,30
3267,4,Affluent Singles,608,114.84444444444443,0.4097742853707922,Low Risk,9,57288.0,58
999,1,Budget-Conscious Families,730,140.16,0.9235779505582138,High Risk,14,86037.0,30
9215,2,Mature Loyalists,551,103.71764705882354,0.33688414293730795,Low Risk,8,43974.0,41
2286,0,High-Value Champions,114,19.542857142857144,0.08221313969476482,Low Risk,6,50785.0,59
1592,1,Budget-Conscious Families,1724,323.25,0.9876887829912023,Low Risk,10,90765.0,51
367,2,Mature Loyalists,577,108.1875,0.1618308420714769,Medium Risk,10,36550.0,43
5234,0,High-Value Champions,81,13.5,0.03313707666066846,High Risk,8,30753.0,54
9862,2,Mature Loyalists,33,5.5,0.015474210273380274,Low Risk,4,21918.0,52
9805,4,Affluent Singles,660,125.05263157894736,0.05938506970331568,Medium Risk,12,56129.0,68
6205,0,High-Value Champions,80,13.714285714285715,0.21547887588121167,Low Risk,5,32557.0,54
8442,2,Mature Loyalists,30,4.800000000000001,0.0075493766672283715,Medium Risk,6,19510.0,36
7386,2,Mature Loyalists,43,6.880000000000002,0.008871968296776014,High Risk,7,30992.0,45
7215,1,Budget-Conscious Families,1135,218.89285714285717,0.8024450704225353,Medium Risk,13,101970.0,38
1491,4,Affluent Singles,559,104.34666666666668,0.09199369205643429,High Risk,11,71488.0,56
11071,1,Budget-Conscious Families,1923,360.56250000000006,0.9115923520923522,Low Risk,10,79607.0,37
3381,0,High-Value Champions,90,15.428571428571429,0.0727806501375785,Medium Risk,7,54348.0,68
11051,4,Affluent Singles,661,125.58999999999999,0.06624048077828219,Medium Risk,12,77376.0,65
8026,4,Affluent Singles,463,86.42666666666668,0.24699987659659617,Low Risk,7,62998.0,69
433,0,High-Value Champions,632,119.74736842105263,0.13282583495807646,Low Risk,10,61331.0,63
9597,4,Affluent Singles,725,137.3684210526316,0.05766006968619314,Low Risk,9,73448.0,52
5290,0,High-Value Champions,279,51.15,0.09466528801897126,Medium Risk,9,41551.0,57
1685,4,Affluent Singles,1482,283.5130434782609,0.576866179508156,Low Risk,12,62981.0,54
5342,2,Mature Loyalists,29,4.64,0.08232403061559072,Low Risk,4,9548.0,45
9579,0,High-Value Champions,106,18.171428571428574,0.4111494967205829,Medium Risk,8,33762.0,62
7660,0,High-Value Champions,49,7.840000000000001,0.8635338364539029,Low Risk,4,35860.0,48
1461,0,High-Value Champions,38,6.333333333333332,0.005081853492155401,Medium Risk,6,36921.0,56
821,1,Budget-Conscious Families,2077,396.5181818181818,0.8929310344827587,Low Risk,13,92859.0,29
11084,4,Affluent Singles,1053,197.4375,0.1551830766018924,Low Risk,8,65104.0,45
8690,4,Affluent Singles,1385,264.95652173913044,0.15123157878762067,Medium Risk,14,86111.0,59
2937,4,Affluent Singles,871,166.62608695652173,0.27089822359691973,Low Risk,12,68352.0,47
9701,2,Mature Loyalists,312,56.16,0.27873563884651537,Low Risk,6,41883.0,33
9949,0,High-Value Champions,877,161.90769230769232,0.23551932516490726,Low Risk,9,59809.0,45
10837,2,Mature Loyalists,68,11.333333333333334,0.4118986059464412,Low Risk,6,23957.0,46
3120,2,Mature Loyalists,22,3.3000000000000003,0.05690189453200608,Low Risk,5,38547.0,40
5885,0,High-Value Champions,211,37.980000000000004,0.06132335854387578,High Risk,10,35688.0,48
4050,2,Mature Loyalists,127,22.225,0.04560171193727614,Medium Risk,8,49605.0,55
3830,0,High-Value Champions,459,86.0625,0.05279622868069209,Medium Risk,10,59354.0,68
7987,4,Affluent Singles,460,86.25,0.32377093763708603,High Risk,11,65747.0,52
7798,2,Mature Loyalists,429,79.67142857142858,0.15058636301988637,Low Risk,8,46344.0,49
92,2,Mature Loyalists,89,15.575000000000001,0.1419333569138333,Low Risk,5,34176.0,33
7055,4,Affluent Singles,1021,196.03200000000004,0.1918295746426587,Medium Risk,12,61010.0,69
10240,1,Budget-Conscious Families,1381,263.0476190476191,0.9172498618402876,Low Risk,10,69372.0,72
3025,0,High-Value Champions,306,56.49230769230769,0.1277619641902153,Low Risk,7,49967.0,63
9283,0,High-Value Champions,18,2.7,0.01900153935943601,Low Risk,5,60199.0,43
9970,0,High-Value Champions,162,28.8,0.09636766091229053,Low Risk,5,55375.0,44
2730,4,Affluent Singles,1231,232.52222222222224,0.05302788883749113,Medium Risk,13,80317.0,66
2795,0,High-Value Champions,13,1.9500000000000002,0.04431949491940339,Low Risk,3,30523.0,63
9260,4,Affluent Singles,1706,328.0769230769231,0.2749061907547038,Low Risk,12,70356.0,76
8182,2,Mature Loyalists,121,21.175,0.03304787701852817,High Risk,9,23228.0,37
10095,4,Affluent Singles,1293,245.67000000000004,0.14907235203918426,Low Risk,10,74165.0,46
8475,1,Budget-Conscious Families,1608,307.61739130434785,0.23512500000000003,High Risk,15,157243.0,48
4370,0,High-Value Champions,88,15.085714285714287,0.03128585163624444,High Risk,9,43482.0,55
10573,4,Affluent Singles,421,79.52222222222224,0.3228010225558319,Low Risk,9,62551.0,68
3712,4,Affluent Singles,259,47.48333333333333,0.39715130893480405,Medium Risk,10,52332.0,62
6637,4,Affluent Singles,1117,208.50666666666666,0.054797905208576,Low Risk,10,66951.0,33
3152,0,High-Value Champions,89,15.25714285714286,0.054257350050269854,High Risk,9,26091.0,64
5610,0,High-Value Champions,36,5.760000000000002,0.01799093038699593,Medium Risk,5,33456.0,56
6460,2,Mature Loyalists,57,9.5,0.02282044039714963,High Risk,7,28718.0,39
1349,0,High-Value Champions,148,25.900000000000002,0.2035630845688817,Low Risk,5,50447.0,51
1880,0,High-Value Champions,93,15.942857142857145,0.05896720419501152,Low Risk,5,53537.0,62
641,0,High-Value Champions,119,20.400000000000002,0.4737431742965343,High Risk,8,52074.0,54
8717,4,Affluent Singles,1835,353.89285714285717,0.5508841991341992,Medium Risk,13,80427.0,46
10314,1,Budget-Conscious Families,1318,253.05600000000004,0.9411024193548387,High Risk,14,83837.0,73
10854,0,High-Value Champions,45,7.5,0.006300514617949499,High Risk,7,38853.0,51
10492,0,High-Value Champions,10,1.5,0.03638544402172313,High Risk,7,38285.0,62
6935,4,Affluent Singles,978,187.77599999999998,0.8483660939206992,Low Risk,12,78497.0,70
7698,0,High-Value Champions,191,34.38000000000001,0.056576287050596405,High Risk,9,51650.0,45
3559,2,Mature Loyalists,57,9.771428571428572,0.04233365849169783,High Risk,8,16248.0,33
10562,4,Affluent Singles,1033,197.99166666666667,0.052491599000417756,Low Risk,11,66835.0,75
10796,2,Mature Loyalists,66,11.0,0.24722212696929197,Low Risk,4,30477.0,37
2563,2,Mature Loyalists,43,7.166666666666668,0.02755988624474575,High Risk,7,28249.0,60
3518,2,Mature Loyalists,50,8.0,0.28552610642600945,Low Risk,5,25271.0,38
5823,2,Mature Loyalists,39,6.5,0.0037503231784558116,Medium Risk,6,32303.0,51
3934,4,Affluent Singles,608,114.44705882352945,0.06579352469286287,Low Risk,9,61286.0,55
6982,4,Affluent Singles,1581,303.02500000000003,0.07761026019055993,Low Risk,11,74068.0,45
6431,0,High-Value Champions,68,11.333333333333336,0.0768933534447646,Low Risk,4,45759.0,57
9733,2,Mature Loyalists,80,12.8,0.3552868397460001,Medium Risk,6,24882.0,43
5602,4,Affluent Singles,1282,247.24285714285716,0.263018088708222,High Risk,15,66973.0,32
1324,2,Mature Loyalists,91,15.599999999999998,0.0373766454091901,High Risk,9,38872.0,33
326,0,High-Value Champions,315,58.15384615384616,0.08377895031521958,Low Risk,8,51148.0,48
7224,0,High-Value Champions,31,4.96,0.5144041420752258,Low Risk,4,31353.0,44
6999,4,Affluent Singles,834,159.54782608695652,0.09794843639683115,High Risk,14,69661.0,41
9938,1,Budget-Conscious Families,1600,301.1764705882353,0.8984385359385358,High Risk,14,80067.0,67
6422,4,Affluent Singles,1270,239.05882352941177,0.15889471897115182,Low Risk,11,86718.0,67
3182,0,High-Value Champions,263,47.34,0.6812788859461147,High Risk,10,46854.0,48
7300,4,Affluent Singles,535,100.70588235294117,0.6536870845424666,Low Risk,10,69142.0,69
10424,4,Affluent Singles,1295,244.6111111111111,0.06234209487860547,Medium Risk,13,75922.0,53
8727,4,Affluent Singles,1150,221.4814814814815,0.11094115408014056,Medium Risk,13,63693.0,43
2798,1,Budget-Conscious Families,1240,238.81481481481478,0.9622222222222223,Medium Risk,13,102160.0,44
1030,0,High-Value Champions,38,6.080000000000001,0.005615302956335523,Medium Risk,6,40637.0,56
624,2,Mature Loyalists,35,5.25,0.6987767186836153,Low Risk,3,18890.0,37
5176,2,Mature Loyalists,53,8.479999999999999,0.5888258291895333,High Risk,7,29604.0,33
5552,0,High-Value Champions,293,53.71666666666667,0.22197200774788464,Low Risk,9,48721.0,58
868,0,High-Value Champions,65,10.833333333333336,0.039188977142869084,High Risk,8,44794.0,55
380,1,Budget-Conscious Families,1804,346.368,0.9289902597402597,Low Risk,11,64497.0,67
2677,0,High-Value Champions,241,43.81818181818182,0.11350140400196777,Low Risk,7,46097.0,65
6521,4,Affluent Singles,1101,209.19000000000003,0.17904988961352952,Low Risk,9,77972.0,67
6927,0,High-Value Champions,264,48.400000000000006,0.18268341142104164,Medium Risk,10,44377.0,53
2877,0,High-Value Champions,541,101.83529411764707,0.18786778680021154,Low Risk,9,46014.0,47
0,4,Affluent Singles,1198,225.50588235294123,0.02505242207070701,Medium Risk,13,70951.0,36
1584,2,Mature Loyalists,482,89.97333333333334,0.2646354554879538,High Risk,10,41443.0,44
7264,0,High-Value Champions,17,2.5500000000000003,0.21463315930004692,Low Risk,3,52195.0,43
6274,1,Budget-Conscious Families,1615,310.0799999999999,0.9308024193548387,High Risk,15,83790.0,73
1377,0,High-Value Champions,285,51.81818181818183,0.14801645900825428,Low Risk,8,44551.0,67
454,4,Affluent Singles,1135,218.5925925925926,0.1897368487834623,Low Risk,12,69508.0,41
1755,2,Mature Loyalists,114,19.542857142857144,0.017454977194798646,High Risk,9,45204.0,33
2075,4,Affluent Singles,1047,196.31250000000003,0.045261636794937665,Medium Risk,10,72460.0,52
4785,4,Affluent Singles,714,136.0,0.08496189480053529,Low Risk,9,77622.0,51
9076,2,Mature Loyalists,185,33.300000000000004,0.19024907629314528,Low Risk,7,30732.0,41
7079,4,Affluent Singles,1245,240.1071428571429,0.219457529222488,Low Risk,12,63887.0,59
4653,2,Mature Loyalists,189,33.6,0.10448679372615896,Low Risk,7,42011.0,43
7375,2,Mature Loyalists,576,107.52000000000001,0.4576888524539831,High Risk,11,51369.0,45
709,4,Affluent Singles,1103,206.81250000000006,0.38705070806980496,Low Risk,9,51537.0,69
460,1,Budget-Conscious Families,1753,329.9764705882353,0.3892008430166325,Medium Risk,13,79930.0,49
3726,2,Mature Loyalists,17,2.5500000000000007,0.0651316874873446,Medium Risk,6,34320.0,35
6798,0,High-Value Champions,433,80.82666666666668,0.7313862316244603,Low Risk,8,37070.0,55
5341,1,Budget-Conscious Families,1588,294.9142857142857,0.9344660894660894,Low Risk,9,81975.0,59
1606,2,Mature Loyalists,22,3.3000000000000003,0.024153209376619907,Medium Risk,6,38590.0,50
9617,2,Mature Loyalists,19,3.04,0.02908882568227441,Low Risk,4,15033.0,70
3233,4,Affluent Singles,1117,215.12592592592597,0.18203589776452997,High Risk,14,62745.0,56
89,2,Mature Loyalists,69,11.82857142857143,0.04134400819436542,Low Risk,7,22212.0,46
2936,2,Mature Loyalists,23,3.6799999999999997,0.00939677476669024,Low Risk,5,23661.0,39
9449,4,Affluent Singles,605,114.63157894736842,0.03524952505829599,Low Risk,9,79761.0,63
7297,2,Mature Loyalists,57,9.975000000000001,0.05621332534012989,Medium Risk,7,7500.0,48
313,1,Budget-Conscious Families,2088,398.6181818181818,0.93002112002112,High Risk,15,73455.0,53
9940,4,Affluent Singles,1009,188.3466666666667,0.1365842470566273,High Risk,12,64961.0,63
10735,2,Mature Loyalists,26,4.16,0.023648108386010055,Medium Risk,6,22804.0,50
9529,1,Budget-Conscious Families,1627,310.6090909090909,0.9091826923076922,Low Risk,11,73687.0,31
6439,4,Affluent Singles,1102,211.58399999999997,0.22199069250466583,Low Risk,11,61074.0,63
7411,0,High-Value Champions,17,2.72,0.037676018705789176,Low Risk,4,31686.0,57
2176,1,Budget-Conscious Families,1690,315.4666666666667,0.9115116579327106,Low Risk,11,80134.0,49
9265,4,Affluent Singles,1390,264.1000000000001,0.10985376195677102,Medium Risk,13,75027.0,68
8867,1,Budget-Conscious Families,2126,403.94,0.07,High Risk,14,67546.0,33
8932,4,Affluent Singles,1531,292.2818181818182,0.1555991558765097,Medium Risk,13,65176.0,52
10236,2,Mature Loyalists,64,10.666666666666666,0.03504582368810379,Medium Risk,7,31160.0,46
6340,2,Mature Loyalists,26,4.16,0.007821809718687473,Medium Risk,5,29938.0,36
10089,1,Budget-Conscious Families,1112,214.73103448275867,0.8030000000000002,Low Risk,10,102692.0,47
2227,2,Mature Loyalists,210,37.800000000000004,0.11997203672250217,High Risk,10,26490.0,63
10992,4,Affluent Singles,1148,219.16363636363636,0.2365283803013342,High Risk,13,75702.0,54
5304,2,Mature Loyalists,33,5.28,0.07287931972875458,Low Risk,4,30899.0,47
309,4,Affluent Singles,1101,207.24705882352941,0.8464290169410732,Low Risk,11,63342.0,60
3406,0,High-Value Champions,322,59.44615384615386,0.07039595374539113,High Risk,11,45989.0,57
2661,0,High-Value Champions,44,7.542857142857142,0.004228409141822023,High Risk,8,18701.0,57
3153,0,High-Value Champions,17,2.5500000000000007,0.04747832755195784,Low Risk,4,40737.0,64
10264,2,Mature Loyalists,31,4.96,0.7912656570378043,Medium Risk,6,15287.0,42
1184,4,Affluent Singles,845,161.6521739130435,0.13665950327291262,Low Risk,12,69674.0,53
4200,0,High-Value Champions,275,50.416666666666664,0.1396111177895043,High Risk,11,44159.0,51
9396,2,Mature Loyalists,25,3.75,0.05160412256181799,Low Risk,4,37717.0,43
2387,0,High-Value Champions,275,50.41666666666667,0.6659325693877842,Low Risk,7,43776.0,69
6690,0,High-Value Champions,90,15.75,0.21237084462436095,Low Risk,6,38179.0,55
1225,1,Budget-Conscious Families,1495,283.2631578947369,0.9167049441786284,Low Risk,12,80124.0,58
9703,0,High-Value Champions,184,32.2,0.8293582202971094,Medium Risk,8,38097.0,51
291,4,Affluent Singles,981,181.10769230769233,0.17993444508392528,Low Risk,8,72940.0,51
4557,2,Mature Loyalists,67,11.485714285714288,0.3240600143077711,Low Risk,5,22070.0,51
2379,1,Budget-Conscious Families,1635,301.84615384615387,0.8779858260963737,Low Risk,10,69267.0,68
5726,2,Mature Loyalists,60,10.5,0.05321440466801989,Low Risk,5,31788.0,38
3066,0,High-Value Champions,231,42.0,0.1666926809325581,Low Risk,7,61905.0,46
6336,0,High-Value Champions,48,8.228571428571428,0.018019766465192433,Medium Risk,6,29315.0,61
10967,0,High-Value Champions,99,16.97142857142857,0.11989343667752161,Low Risk,6,33378.0,58
2304,4,Affluent Singles,770,147.0,0.03593021411327471,High Risk,14,66313.0,58
3445,4,Affluent Singles,957,182.70000000000002,0.4060666026300899,Medium Risk,12,60714.0,65
7828,4,Affluent Singles,818,149.96666666666667,0.21158161747992962,Low Risk,9,77882.0,40
3762,1,Budget-Conscious Families,925,174.11764705882354,0.7121784312249752,Low Risk,10,69867.0,35
4391,4,Affluent Singles,908,173.34545454545457,0.1618732751686775,Medium Risk,13,63841.0,53
4669,2,Mature Loyalists,102,17.85,0.07130151062947443,Low Risk,7,24480.0,40
10144,2,Mature Loyalists,576,107.52000000000001,0.4576888524539831,High Risk,11,51369.0,45
8652,2,Mature Loyalists,317,58.11666666666667,0.11426078814575061,Low Risk,8,37760.0,75
1672,4,Affluent Singles,461,86.05333333333334,0.06835987725817953,Medium Risk,10,65640.0,47
8962,0,High-Value Champions,37,6.166666666666667,0.028816847538834196,Low Risk,3,44319.0,46
9974,2,Mature Loyalists,70,12.0,0.16769030316078243,Medium Risk,8,30631.0,47
10983,4,Affluent Singles,930,177.91304347826085,0.18625586478434492,Low Risk,10,75278.0,69
8148,4,Affluent Singles,859,163.61904761904762,0.19731549032395432,High Risk,13,50898.0,65
10102,4,Affluent Singles,1478,282.1636363636364,0.46241129778679513,Low Risk,11,79946.0,55
4697,2,Mature Loyalists,390,72.42857142857143,0.1137110613436902,Medium Risk,10,35416.0,72
9262,2,Mature Loyalists,52,8.320000000000002,0.4294619302184699,Low Risk,3,32414.0,37
7254,2,Mature Loyalists,137,23.974999999999998,0.07536690214403702,Medium Risk,8,38361.0,52
4543,1,Budget-Conscious Families,1919,363.6000000000001,0.9363435525202768,Low Risk,11,82497.0,41
4927,0,High-Value Champions,68,11.657142857142858,0.07153587559456423,High Risk,8,16626.0,50
10451,0,High-Value Champions,25,3.75,0.008859149507668028,Low Risk,3,29672.0,56
2926,4,Affluent Singles,1374,261.7142857142857,0.7700898064898974,Medium Risk,13,55951.0,69
2874,2,Mature Loyalists,32,5.120000000000001,0.042077045292637776,Low Risk,4,35388.0,33
9738,2,Mature Loyalists,100,17.142857142857146,0.04175346692501053,Low Risk,7,42386.0,35
7119,4,Affluent Singles,825,151.25,0.05686074828999844,Low Risk,10,68627.0,39
3924,4,Affluent Singles,916,175.56666666666663,0.10893256258627963,Low Risk,11,57912.0,56
5827,0,High-Value Champions,62,10.850000000000001,0.06035586202139569,Medium Risk,7,35246.0,63
5596,4,Affluent Singles,728,138.66666666666669,0.24864235802348855,Low Risk,11,58821.0,65
10812,2,Mature Loyalists,90,15.42857142857143,0.06297868549042801,High Risk,9,46377.0,43
1717,2,Mature Loyalists,273,49.636363636363626,0.10644424652735088,Low Risk,9,39747.0,33
9491,2,Mature Loyalists,66,11.55,0.07982107722074333,Medium Risk,8,23976.0,37
9274,4,Affluent Singles,1213,232.0521739130435,0.3552452060739696,Low Risk,13,80950.0,60
6609,2,Mature Loyalists,107,18.342857142857145,0.6778032952061241,Medium Risk,8,27038.0,55
6963,4,Affluent Singles,1157,218.54444444444445,0.15076241987226074,High Risk,13,77457.0,74
